CHAVE;IBGE6;IBGE7;ANO;P_CV;P_CVPA;P_CVPE;P_MPO;P_HOM_TX;P_HOMI;P_TEN_HOM;P_LATROCINIO;P_ROUBO;P_TRAFICO;P_POSSE;P_ARMA;P_ESTUPRO;P_SUICIDIOS_SIM;P_MORTESTRAN_SIM;P_HOMI_SIM;P_HOMITX_SIM;P_HOMMENOR15_SIM;P_HOM15A24_SIM;P_HOM25A29_SIM;P_HOMMAIOR30_SIM;P_HOMBRANCA_SIM;P_HOMPRETA_SIM;P_HOMPARDA_SIM;P_HOMOUTROS_SIM;P_HOMHOMEM_SIM;P_HOMMULHER_SIM;P_PM;P_PM1;P_PC1;P_PMPC;P_JUI2;P_PRO2;P_DEFP2;P_DELEGACIA;P_INF;P_PEN;P_PRESOSPC;P_OCUPPC;P_PRESOSSUAPI;P_OCUPSUAPI;P_COMARCA
2000310010;310010;3100104;2000;15,38;15,51;0,00;;0,00;0;;;;;;;;0;1;4;62,05;1;1;0;2;3;0;0;1;2;2;1074,33;6;0;1074,33;;;;Não;;;;;;;
2000310020;310020;3100203;2000;93,10;44,72;49,19;;17,89;4;;;;;;;;1;4;2;8,94;0;2;0;0;2;0;0;0;1;1;721,29;31;5;621,11;;;;Não;;;;;;;
2000310030;310030;3100302;2000;51,99;22,48;29,97;;0,00;0;;;;;;;;0;2;0;0,00;0;0;0;0;0;0;0;0;0;0;667,40;20;5;533,92;;;;Não;;;;;;;
2000310040;310040;3100401;2000;50,98;25,71;25,71;;0,00;0;;;;;;;;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;1296,33;3;0;1296,33;;;;Não;;;;;;;
2000310050;310050;3100500;2000;86,28;17,41;69,63;;8,70;1;;;;;;;;2;2;1;8,70;0;0;0;1;0;0;0;1;1;0;574,45;20;4;478,71;;;;Não;;;;;;;
2000310060;310060;3100609;2000;72,42;0,00;73,05;;39,34;7;;;;;;;;0;2;3;16,86;0;1;1;1;0;0;2;1;3;0;2965,83;6;3;1977,22;;;;Não;;;;;;;
2000310070;310070;3100708;2000;189,57;47,80;143,40;;0,00;0;;;;;;;;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;298,86;7;0;298,86;;;;Não;;;;;;;
2000310080;310080;3100807;2000;55,66;56,15;0,00;;0,00;0;;;;;;;;0;1;0;0,00;0;0;0;0;0;0;0;0;0;0;508,86;7;0;508,86;;;;Não;;;;;;;
2000310090;310090;3100906;2000;61,11;5,60;56,04;;11,21;2;;;;;;;;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;713,80;25;6;575,65;;;;Não;;;;;;;
2000310100;310100;3101003;2000;50,08;8,42;42,09;;8,42;1;;;;;;;;0;1;0;0,00;0;0;0;0;0;0;0;0;0;0;1484,75;8;1;1319,78;;;;Não;;;;;;;
