ibge7;Municipio;imrs_2020;imrs_educ_2020;imrs_vuln_2020;imrs_saude_2020;imrs_seg_2020;imrs_saneam_2020
3100104;Abadia dos Dourados;0,570;0,556;0,504;0,708;0,634;0,412
3100203;Abaeté;0,581;0,611;0,541;0,686;0,661;0,371
3100302;Abre Campo;0,606;0,611;0,536;0,733;0,670;0,443
3100401;Acaiaca;0,626;0,660;0,437;0,809;0,529;0,635
3100500;Açucena;0,598;0,549;0,443;0,786;0,631;0,545
3100609;Água Boa;0,574;0,588;0,346;0,590;0,538;0,800
3100708;Água Comprida;0,736;0,632;0,429;0,826;0,822;0,977
3100807;Aguanil;0,683;0,644;0,606;0,805;0,642;0,697
3100906;Águas Formosas;0,470;0,630;0,483;0,517;0,421;0,239
3101003;Águas Vermelhas;0,544;0,648;0,404;0,676;0,599;0,329
3101102;Aimorés;0,675;0,625;0,574;0,782;0,631;0,749
3101201;Aiuruoca;0,659;0,564;0,539;0,720;0,764;0,718
3101300;Alagoa;0,674;0,642;0,380;0,801;0,858;0,664
3101409;Albertina;0,690;0,699;0,594;0,698;0,757;0,698
3101508;Além Paraíba;0,610;0,572;0,635;0,664;0,585;0,590
3101607;Alfenas;0,705;0,666;0,716;0,770;0,639;0,724
3101631;Alfredo Vasconcelos;0,701;0,677;0,560;0,840;0,687;0,711
3101706;Almenara;0,598;0,596;0,487;0,638;0,699;0,562
3101805;Alpercata;0,499;0,563;0,503;0,713;0,290;0,351
3101904;Alpinópolis;0,668;0,613;0,595;0,821;0,652;0,634
3102001;Alterosa;0,678;0,660;0,502;0,820;0,668;0,706
3102050;Alto Caparaó;0,595;0,639;0,511;0,588;0,736;0,490
3153509;Alto Jequitibá;0,567;0,628;0,420;0,661;0,645;0,437
3102100;Alto Rio Doce;0,611;0,628;0,345;0,669;0,706;0,684
3102209;Alvarenga;0,544;0,637;0,320;0,546;0,614;0,577
3102308;Alvinópolis;0,618;0,574;0,528;0,776;0,668;0,511
3102407;Alvorada de Minas;0,587;0,567;0,284;0,727;0,738;0,583
3102506;Amparo da Serra;0,612;0,578;0,360;0,724;0,772;0,605
3102605;Andradas;0,716;0,631;0,679;0,853;0,590;0,810
3102803;Andrelândia;0,631;0,621;0,448;0,743;0,646;0,671
3102852;Angelândia;0,523;0,645;0,361;0,641;0,513;0,388
3102902;Antônio Carlos;0,643;0,560;0,501;0,710;0,668;0,781
