ano,Emprego,TaxaCrescimento,Regiao
2010,1498,NA,Vale do Lítio
2011,1629,8.74499332443257,Vale do Lítio
2012,1490,-8.532842234499693,Vale do Lítio
2013,1680,12.751677852348987,Vale do Lítio
2014,1771,5.41666666666667,Vale do Lítio
2015,1586,-10.446075663466969,Vale do Lítio
2016,1555,-1.954602774274905,Vale do Lítio
2017,1453,-6.5594855305466275,Vale do Lítio
2018,1291,-11.149346180316588,Vale do Lítio
2019,1260,-2.4012393493415995,Vale do Lítio
2020,1188,-5.714285714285716,Vale do Lítio
2021,1293,8.838383838383844,Vale do Lítio
2010,65618,NA,Minas Gerais
2011,70891,8.035904782224378,Minas Gerais
2012,86044,21.375068767544537,Minas Gerais
2013,83457,-3.006601273766907,Minas Gerais
2014,81916,-1.846459853577287,Minas Gerais
2015,84447,3.0897504760974748,Minas Gerais
2016,73388,-13.095787890629628,Minas Gerais
2017,83699,14.049980923311711,Minas Gerais
2018,72362,-13.544964694918693,Minas Gerais
2019,75743,4.672341836875704,Minas Gerais
2020,79877,5.457930105752351,Minas Gerais
2021,86434,8.208871139376782,Minas Gerais
